Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PSA^E,Public Storage,25.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/psa^e
PSA^F,Public Storage,26.215,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/psa^f
PSA^G,Public Storage,26.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psa^g
PSA^H,Public Storage,28.21,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psa^h
PSA^I,Public Storage,26.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psa^i
PSA^J,Public Storage,26.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psa^j
PSA^K,Public Storage,26.42,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/psa^k
PSA^L,Public Storage,26.09,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/psa^l
PSA^W,Public Storage,25.49,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psa^w
PSA^X,Public Storage,25.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/psa^x
PHM,"PulteGroup, Inc.",39.44,$10.58B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/phm
PSTG,"Pure Storage, Inc. ",17.94,$4.75B,2015,Technology,Electronic Components,https://old.nasdaq.com/symbol/pstg
PMM,Putnam Managed Municipal Income Trust,7.81,$381.75M,1989,n/a,n/a,https://old.nasdaq.com/symbol/pmm
PIM,Putnam Master Intermediate Income Trust,4.13,$211.42M,1988,n/a,n/a,https://old.nasdaq.com/symbol/pim
PMO,Putnam Municipal Opportunities Trust,13.515,$460.99M,1993,n/a,n/a,https://old.nasdaq.com/symbol/pmo
PPT,Putnam Premier Income Trust,4.67,$483.14M,1988,n/a,n/a,https://old.nasdaq.com/symbol/ppt
NEW,Puxin Limited,10.99,$956.48M,2018,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/new
PVH,PVH Corp.,49.44,$3.51B,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/pvh
PZN,Pzena Investment Management Inc,5.42,$387.26M,2007,Finance,Investment Managers,https://old.nasdaq.com/symbol/pzn
QTWO,"Q2 Holdings, Inc.",94.35,$5.02B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/qtwo
QEP,"QEP Resources, Inc.",1.67,$404.44M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/qep
QGEN,Qiagen N.V.,48.56,$11.08B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/qgen
QTS,"QTS Realty Trust, Inc.",67.9,$4.1B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/qts
QTS^A,"QTS Realty Trust, Inc.",27.18,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qts^a
QTS^B,"QTS Realty Trust, Inc.",151.07,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qts^b
QUAD,"Quad Graphics, Inc",3.26,$175.3M,n/a,Miscellaneous,Publishing,https://old.nasdaq.com/symbol/quad
KWR,Quaker Chemical Corporation,206.23,$3.66B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/kwr
NX,Quanex Building Products Corporation,14.2,$465.78M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/nx
PWR,"Quanta Services, Inc.",40.92,$5.63B,n/a,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/pwr
QD,Qudian Inc.,1.95,$494.75M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qd
DGX,Quest Diagnostics Incorporated,129.76,$17.35B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dgx
QES,Quintana Energy Services Inc.,1.03,$34.77M,2018,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/qes
QUOT,Quotient Technology Inc.,7.83,$704.31M,2014,Consumer Services,Advertising,https://old.nasdaq.com/symbol/quot
QVCC,"QVC, Inc.",21.89,n/a,2019,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/qvcc
QVCD,"QVC, Inc.",23.6,n/a,2018,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/qvcd
CTAA,Qwest Corporation,25.9879,n/a,2016,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctaa
CTBB,Qwest Corporation,24.16,n/a,2016,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctbb
CTDD,Qwest Corporation,25.05,n/a,2017,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctdd
CTV,Qwest Corporation,25.165,n/a,2014,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctv
CTY,Qwest Corporation,23.2244,n/a,2013,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cty
CTZ,Qwest Corporation,24.47,n/a,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctz
RRD,R.R. Donnelley & Sons Company,1.26,$89.84M,n/a,Miscellaneous,Publishing,https://old.nasdaq.com/symbol/rrd
RMED,"Ra Medical Systems, Inc.",0.4055,$14.04M,2018,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/rmed
RDN,Radian Group Inc.,14.1,$2.68B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/rdn
RFL,"Rafael Holdings, Inc.",15.36,$242.97M,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/rfl
RL,Ralph Lauren Corporation,71.36,$5.18B,1997,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/rl
RRC,Range Resources Corporation,6.21,$1.59B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/rrc
RNGR,"Ranger Energy Services, Inc.",3.26,$50.02M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/rngr
PACK,Ranpak Holdings Corp,8.09,$573.29M,2018,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/pack
PACK.WS,Ranpak Holdings Corp,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pack.ws
RJF,"Raymond James Financial, Inc.",72.43,$9.93B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/rjf
RYAM,Rayonier Advanced Materials Inc.,3.22,$203.67M,2014,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ryam
RYN,Rayonier Inc.,27.93,$3.81B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ryn
RTX,Raytheon Technologies Corporation,63.63,$96.41B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/rtx
RMAX,"RE/MAX Holdings, Inc.",34.08,$1.05B,2013,Finance,Real Estate,https://old.nasdaq.com/symbol/rmax
RC,Ready Capital Corporation,8.2,$449.67M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rc
RCA,Ready Capital Corporation,21,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rca
RCB,Ready Capital Corporation,18.43,n/a,2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rcb
RCP,Ready Capital Corporation,24.15,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rcp
RLGY,Realogy Holdings Corp.,8.38,$966.82M,2012,Finance,Real Estate,https://old.nasdaq.com/symbol/rlgy
O,Realty Income Corporation,58.5,$20.09B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/o
RLH,Red Lion Hotels Corporation,2.38,$60.31M,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/rlh
RWT,"Redwood Trust, Inc.",7.11,$816.43M,1995,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rwt
RBC,Regal Beloit Corporation,91.83,$3.72B,n/a,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/rbc
RM,Regional Management Corp.,15.57,$174.06M,2012,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/rm
RF,Regions Financial Corporation,10.8,$10.36B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/rf
RF^A,Regions Financial Corporation,25.53,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rf^a
RF^B,Regions Financial Corporation,26.44,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rf^b
RF^C,Regions Financial Corporation,25.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rf^c
RGS,Regis Corporation,7.89,$281.07M,1991,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/rgs
RGA,"Reinsurance Group of America, Incorporated",87.57,$6.02B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/rga
RZA,"Reinsurance Group of America, Incorporated",25.94,n/a,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/rza
RZB,"Reinsurance Group of America, Incorporated",25.69,n/a,2016,Finance,Life Insurance,https://old.nasdaq.com/symbol/rzb
RS,Reliance Steel & Aluminum Co.,96.5,$6.14B,1994,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/rs
RELX,RELX PLC,22.98,$44.38B,2015,Consumer Services,Publishing,https://old.nasdaq.com/symbol/relx
RNR,RenaissanceRe Holdings Ltd.,182.26,$9.26B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/rnr
RNR^E,RenaissanceRe Holdings Ltd.,25.22,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rnr^e
RNR^F,RenaissanceRe Holdings Ltd.,27.04,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rnr^f
SOL,Renesola Ltd.,1.385,$66.59M,2008,Technology,Semiconductors,https://old.nasdaq.com/symbol/sol
RENN,Renren Inc.,2.99,$70.5M,2011,Technology,EDP Services,https://old.nasdaq.com/symbol/renn
RPLA,Replay Acquisition Corp.,10.33,$371.23M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/rpla
RPLA.U,Replay Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/rpla.u
RPLA.WS,Replay Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rpla.ws
RSG,"Republic Services, Inc.",85.66,$27.27B,1998,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/rsg
REZI,"Resideo Technologies, Inc.",13.54,$1.67B,2018,Capital Goods,Wholesale Distributors,https://old.nasdaq.com/symbol/rezi
RMD,ResMed Inc.,205.33,$29.7B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/rmd
RFP,Resolute Forest Products Inc.,2.71,$236.74M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/rfp
QSR,Restaurant Brands International Inc.,57.74,$17.33B,2014,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/qsr
RPAI,"Retail Properties of America, Inc.",6.52,$1.4B,2012,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rpai
RVI,Retail Value Inc.,12.25,$242.75M,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/rvi
REVG,"REV Group, Inc.",6.25,$396.29M,2017,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/revg
REV,"Revlon, Inc.",7.23,$385.4M,1996,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/rev
RVLV,"Revolve Group, Inc.",16,$1.11B,2019,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/rvlv
REX,REX American Resources Corporation,70,$432.93M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/rex
REXR,"Rexford Industrial Realty, Inc.",41.05,$5.04B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rexr
REXR^A,"Rexford Industrial Realty, Inc.",25.4499,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rexr^a
REXR^B,"Rexford Industrial Realty, Inc.",25.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rexr^b
REXR^C,"Rexford Industrial Realty, Inc.",25.7799,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rexr^c
RXN,Rexnord Corporation,30.01,$3.61B,2012,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rxn
RH,RH,285.03,$5.5B,2012,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/rh
RNG,"Ringcentral, Inc.",281.83,$24.77B,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/rng
RIO,Rio Tinto Plc,61.44,$76.6B,2002,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/rio
RBA,Ritchie Bros. Auctioneers Incorporated,44.98,$4.87B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/rba
RAD,Rite Aid Corporation,15.93,$870.47M,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/rad
RFM,"RiverNorth Flexible Municipal Income Fund, Inc.",20,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/rfm
RMM,"RiverNorth Managed Duration Municipal Income Fund, Inc.",17.37,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/rmm
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",21.12,$134.6M,2018,n/a,n/a,https://old.nasdaq.com/symbol/rmi
RIV,"RiverNorth Opportunities Fund, Inc.",14.95,$139.55M,2015,n/a,n/a,https://old.nasdaq.com/symbol/riv
RMPL^,RiverNorth Specialty Finance Corporation,25.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rmpl^
RSF,RiverNorth Specialty Finance Corporation,15.0727,$92.43M,2019,n/a,n/a,https://old.nasdaq.com/symbol/rsf
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",14.0973,$188.69M,2016,n/a,n/a,https://old.nasdaq.com/symbol/opp
RLI,RLI Corp.,83.74,$3.76B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/rli
RLJ,RLJ Lodging Trust,8.3,$1.37B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rlj
RLJ^A,RLJ Lodging Trust,21.91,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rlj^a
RMG,RMG Acquisition Corp.,10.5,$301.88M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/rmg
RMG.U,RMG Acquisition Corp.,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/rmg.u
RMG.WS,RMG Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rmg.ws
RHI,Robert Half International Inc.,53.55,$6.14B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/rhi
ROK,"Rockwell Automation, Inc.",226.6,$26.25B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rok
RCI,"Rogers Communication, Inc.",40.98,$20.69B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/rci
ROG,Rogers Corporation,128.18,$2.39B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/rog
ROL,"Rollins, Inc.",48.67,$15.95B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/rol
ROP,"Roper Technologies, Inc.",418.23,$43.66B,1992,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rop
RST,Rosetta Stone,23.54,$578.53M,2009,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/rst
RY,Royal Bank Of Canada,71.13,$101.23B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ry
RY^T,Royal Bank Of Canada,30.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ry^t
RCL,Royal Caribbean Cruises Ltd.,51.45,$11.04B,1993,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/rcl
RDS.A,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rds.a
RDS.B,Royal Dutch Shell PLC,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rds.b
RGT,"Royce Global Value Trust, Inc.",12.59,$132.24M,2013,n/a,n/a,https://old.nasdaq.com/symbol/rgt
RMT,"Royce Micro-Cap Trust, Inc.",7.53,$321.3M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rmt
RVT,"Royce Value Trust, Inc.",12.97,$1.29B,1986,n/a,n/a,https://old.nasdaq.com/symbol/rvt
RES,"RPC, Inc.",3.28,$706.05M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/res
RPM,RPM International Inc.,78.49,$10.16B,n/a,Basic Industries,Paints/Coatings,https://old.nasdaq.com/symbol/rpm
RPT,RPT Realty,6.35,$511.72M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rpt
RPT^D,RPT Realty,33.6966,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/rpt^d
RYB,"RYB Education, Inc.",3.22,$88.83M,2017,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ryb
R,"Ryder System, Inc.",42.78,$2.3B,n/a,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/r
RYI,Ryerson Holding Corporation,5.9,$224.89M,2014,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/ryi
RHP,"Ryman Hospitality Properties, Inc.",32.97,$1.81B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rhp
SPGI,S&P Global Inc.,356.45,$85.87B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/spgi
SBR,Sabine Royalty Trust,29.5,$430.09M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sbr
SB,"Safe Bulkers, Inc",1.16,$118.46M,2008,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sb
SB^C,"Safe Bulkers, Inc",19.24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sb^c
SB^D,"Safe Bulkers, Inc",19.43,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sb^d
SFE,"Safeguard Scientifics, Inc.",6.05,$125.07M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/sfe
SAFE,Safehold Inc.,53.78,$2.74B,2017,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/safe
SAIL,"SailPoint Technologies Holdings, Inc.",31.17,$2.8B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sail
CRM,Salesforce.com Inc,191.31,$172.37B,2004,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm
SMM,Salient Midstream & MLP Fund,4.08,$72.31M,2012,n/a,n/a,https://old.nasdaq.com/symbol/smm
SBH,"Sally Beauty Holdings, Inc.",13.67,$1.54B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/sbh
SJT,San Juan Basin Royalty Trust,2.23,$103.94M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sjt
SD,"SandRidge Energy, Inc.",1.36,$48.66M,2016,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sd
PER,SandRidge Permian Trust,0.45,$23.63M,2011,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/per
SAND          ,Sandstorm Gold Ltd,10.13,$1.93B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/sand
SC,Santander Consumer USA Holdings Inc.,18.44,$5.86B,2014,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/sc
SAP,SAP SE,164.47,$196.32B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sap
SAF,Saratoga Investment Corp,24.2529,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/saf
SAK,Saratoga Investment Corp,25.2,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/sak
SAR,Saratoga Investment Corp,17.6,$197.43M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sar
SSL,Sasol Ltd.,8.6,$5.44B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ssl
BFS,"Saul Centers, Inc.",31.01,$719.43M,1993,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bfs
BFS^D,"Saul Centers, Inc.",21.34,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bfs^d
BFS^E,"Saul Centers, Inc.",20.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bfs^e
SCPE,SC Health Corporation,10.12,$230.86M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/scpe
SCPE.U,SC Health Corporation,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/scpe.u
SCPE.WS,SC Health Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/scpe.ws
SLB,Schlumberger N.V.,19.17,$26.6B,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/slb
SNDR,"Schneider National, Inc.",25.53,$4.52B,2017,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/sndr
SWM,"Schweitzer-Mauduit International, Inc.",32.72,$1.02B,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/swm
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,76.52,$4.45B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/saic
SALT,Scorpio Bulkers Inc.,13.39,$160.18M,2013,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/salt
SBBA,Scorpio Tankers Inc.,22.95,n/a,2020,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sbba
STNG,Scorpio Tankers Inc.,13.04,$765.08M,2010,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/stng
SMG,Scotts Miracle-Gro Company (The),147.56,$8.19B,1992,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/smg
KTF,Scudder Municiple Income Trust,11.15,$440.44M,1988,n/a,n/a,https://old.nasdaq.com/symbol/ktf
KSM,Scudder Strategic Municiple Income Trust,10.93,$122.46M,1989,n/a,n/a,https://old.nasdaq.com/symbol/ksm
SRL,Scully Royalty Ltd.,7.87,$98.81M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/srl
SCU,"Sculptor Capital Management, Inc.",14.09,$773.6M,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/scu
SCVX,SCVX Corp.,10.6,$304.75M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/scvx
SCVX.U,SCVX Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/scvx.u
SCVX.WS,SCVX Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/scvx.ws
SE,Sea Limited,114.65,$54.23B,2017,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/se
SA,"Seabridge Gold, Inc.",19.37,$1.28B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/sa
CKH,"SEACOR Holdings, Inc.",27.5,$559.16M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/ckh
SMHI,SEACOR Marine Holdings Inc.,2.3,$53.13M,2017,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/smhi
SEE,Sealed Air Corporation,37.28,$5.8B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/see
SEAS,"SeaWorld Entertainment, Inc.",16.67,$1.3B,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/seas
WTTR,"Select Energy Services, Inc.",4.59,$473.11M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/wttr
SEM,Select Medical Holdings Corporation,15.64,$2.1B,2009,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/sem
SLQT,"SelectQuote, Inc.",21.51,$3.48B,2020,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/slqt
SRE,Sempra Energy,127.88,$37.41B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/sre
SRE^A,Sempra Energy,104.42,n/a,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/sre^a
SRE^B,Sempra Energy,105.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sre^b
SREA,Sempra Energy,26.78,n/a,2019,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/srea
ST,Sensata Technologies Holding plc,40.62,$6.38B,2010,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/st
SXT,Sensient Technologies Corporation,53.87,$2.28B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/sxt
SQNS,Sequans Communications S.A.,7.12,$213.3M,2011,Technology,Semiconductors,https://old.nasdaq.com/symbol/sqns
SRG,Seritage Growth Properties,9.9,$553.18M,2015,Finance,Real Estate,https://old.nasdaq.com/symbol/srg
SRG^A,Seritage Growth Properties,13.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/srg^a
SCI,Service Corporation International,38.8,$6.91B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/sci
SERV,"ServiceMaster Global Holdings, Inc.",37.93,$5B,2014,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/serv
NOW,"ServiceNow, Inc.",441.6,$83.82B,2012,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/now
SFL,SFL Corporation Ltd,8.61,$1.03B,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sfl
SHAK,"Shake Shack, Inc.",53.03,$2.19B,2015,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/shak
SJR,Shaw Communications Inc.,17.92,$9.19B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/sjr
SHLX,"Shell Midstream Partners, L.P.",11.85,$4.66B,2014,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/shlx
SHW,Sherwin-Williams Company (The),625.9,$56.83B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/shw
FOUR,"Shift4 Payments, Inc.",35.8,$2.88B,2020,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/four
SHG,Shinhan Financial Group Co Ltd,26.04,$12.43B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/shg
SHOP,Shopify Inc.,957.33,$114.3B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/shop
SSTK,"Shutterstock, Inc.",38.71,$1.38B,2012,Technology,EDP Services,https://old.nasdaq.com/symbol/sstk
SBSW,Sibayne Gold Limited,10.86,$7.26B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sbsw
SIG,Signet Jewelers Limited,12.04,$629.97M,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/sig
SBOW,"SilverBow Resorces, Inc.",4.04,$48.02M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sbow
SI,Silvergate Capital Corporation,13.79,$257.43M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/si
SPG,"Simon Property Group, Inc.",62.03,$18.97B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/spg
SPG^J,"Simon Property Group, Inc.",60.9799,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/spg^j
